TimeStamp	Impedance_Z	Resistance_Rp	Capacity_Cp[pF]	Phase	Force
2025-03-03_04-03-29.159	49627500	230353000	0.0313	-77.559	-0.03322
2025-03-03_04-03-29.660	57115200	325746000	0.0274	-79.902	-0.11428
2025-03-03_04-03-30.069	50623800	222651000	0.0306	-76.858	-0.07875
2025-03-03_04-03-30.479	48116500	343101000	0.0328	-81.938	-0.07831
2025-03-03_04-03-30.888	53045700	-706009000000	0.03	-90.43	-0.18491
2025-03-03_04-03-31.297	56981300	308591000	0.0275	-79.359	-0.15004
2025-03-03_04-03-31.706	56781100	101683000000	0.028	-86.799	-0.02723
2025-03-03_04-03-32.116	72505700	299252000	0.0213	-75.978	0.82446
2025-03-03_04-03-32.526	76588600	522175000	0.0206	-81.566	1.97973
2025-03-03_04-03-32.934	88071200	518676000	0.0178	-80.224	3.2356
2025-03-03_04-03-33.344	89167000	378276000	0.0173	-76.366	4.63804
2025-03-03_04-03-33.753	92208300	108765000000	0.0172	-85.137	7.22263
2025-03-03_04-03-34.162	92241700	300411000	0.0164	-72.118	9.84053
2025-03-03_04-03-34.572	90547100	368521000	0.017	-75.777	12.42867
2025-03-03_04-03-34.981	88812500	292079000	0.0171	-72.298	15.62554
2025-03-03_04-03-35.391	98272900	108859000000	0.0161	-84.821	18.45908
2025-03-03_04-03-35.800	11015500	624503000	0.0142	-79.841	21.387
2025-03-03_04-03-36.209	94010000	214019000000	0.0169	-87.482	24.4193
2025-03-03_04-03-36.618	11072500	418211000	0.0139	-74.647	27.53866
2025-03-03_04-03-37.027	85817200	454590000	0.0182	-79.118	30.75596
2025-03-03_04-03-37.437	10608500	737536000	0.0148	-81.73	34.10695
2025-03-03_04-03-37.846	81439400	699306000	0.0194	-83.312	37.49392
2025-03-03_04-03-38.255	88850900	458774000	0.0176	-78.833	40.52311
2025-03-03_04-03-38.664	70974600	995897000	0.0224	-85.913	44.00358
2025-03-03_04-03-39.074	89838300	474887000	0.0174	-79.095	47.47583
2025-03-03_04-03-39.483	86980600	212546000	0.0167	-65.843	50.98916
2025-03-03_04-03-39.892	10317800	101522000000	0.0154	-89.418	54.3215
2025-03-03_04-03-40.302	10764300	380143000	0.0142	-73.551	58.20637
2025-03-03_04-03-40.711	86982900	951575000	0.0182	-84.755	61.57091
2025-03-03_04-03-41.120	88767000	-112376000000	0.0179	-94.531	65.29255
2025-03-03_04-03-41.530	10326100	862489000	0.0153	-83.124	68.7688
2025-03-03_04-03-41.939	88885400	-663778000	0.0177	-97.696	72.15976
2025-03-03_04-03-42.349	88748000	613939000	0.0177	-81.688	75.70819
2025-03-03_04-03-42.757	88469400	-111003000000	0.0179	-94.571	78.89439
2025-03-03_04-03-43.167	86420700	963582000	0.0183	-84.854	82.29269
2025-03-03_04-03-43.576	81323700	107788000	0.0128	-41.02	85.79602
2025-03-03_04-03-43.985	88587300	587498000	0.0178	-81.327	88.97135
2025-03-03_04-03-44.395	88655100	985698000	0.0179	-84.84	93.42298
2025-03-03_04-03-44.804	10909700	532497000	0.0143	-78.178	96.72844
2025-03-03_04-03-45.213	90287800	706012000	0.0175	-82.653	100.228
2025-03-03_04-03-45.623	74576700	115187000000	0.0213	-86.288	103.95964
2025-03-03_04-03-46.032	82463500	631850000	0.0191	-82.501	107.41634
2025-03-03_04-03-46.441	10218200	110263000000	0.0155	-84.683	110.47063
