TimeStamp	Impedance_Z	Resistance_Rp	Capacity_Cp	Phase	Force
2025-03-03_04-03-22.201	47.9815E+06	338.991E+06	0.0328E-12	-81.863		0.05761
2025-03-03_04-03-22.610	52.0328E+06	307.840E+06	0.0301E-12	-80.269		0.02008
2025-03-03_04-03-23.020	51.9419E+06	390.436E+06	0.0304E-12	-82.355		-0.08608
2025-03-03_04-03-23.429	47.3832E+06	216.783E+06	0.0328E-12	-77.375		-0.08497
2025-03-03_04-03-23.838	46.7254E+06	342.372E+06	0.0337E-12	-82.156		0.07071
2025-03-03_04-03-24.247	45.7705E+06	272.752E+06	0.0343E-12	-80.340		-0.12850
2025-03-03_04-03-24.657	47.1929E+06	434.584E+06	0.0335E-12	-83.766		0.07004
2025-03-03_04-03-25.066	51.5439E+06	392.144E+06	0.0306E-12	-82.447		0.07493
2025-03-03_04-03-25.475	53.8981E+06	1.02041E+09	0.0295E-12	-86.972		0.02585
2025-03-03_04-03-25.884	45.0530E+06	197.574E+06	0.0344E-12	-76.819		0.15022
2025-03-03_04-03-26.294	43.3215E+06	234.863E+06	0.0361E-12	-79.371		0.03096
2025-03-03_04-03-26.703	46.4447E+06	240.855E+06	0.0336E-12	-78.882		0.07338
2025-03-03_04-03-27.113	45.3944E+06	224.736E+06	0.0343E-12	-78.347		0.04917
2025-03-03_04-03-27.522	50.9293E+06	428.663E+06	0.0310E-12	-83.177		-0.02545
2025-03-03_04-03-27.931	46.2065E+06	328.799E+06	0.0341E-12	-81.921		-0.02701
2025-03-03_04-03-28.340	49.4440E+06	467.914E+06	0.0320E-12	-83.934		-0.15270
2025-03-03_04-03-28.749	51.0495E+06	206.250E+06	0.0302E-12	-75.670		-0.18957
2025-03-03_04-03-29.159	49.6275E+06	230.353E+06	0.0313E-12	-77.559		-0.03322
2025-03-03_04-03-29.660	57.1152E+06	325.746E+06	0.0274E-12	-79.902		-0.11428
2025-03-03_04-03-30.069	50.6238E+06	222.651E+06	0.0306E-12	-76.858		-0.07875
2025-03-03_04-03-30.479	48.1165E+06	343.101E+06	0.0328E-12	-81.938		-0.07831
2025-03-03_04-03-30.888	53.0457E+06	-7.06009E+09	0.0300E-12	-90.430		-0.18491
2025-03-03_04-03-31.297	56.9813E+06	308.591E+06	0.0275E-12	-79.359		-0.15004
2025-03-03_04-03-31.706	56.7811E+06	1.01683E+09	0.0280E-12	-86.799		-0.02723
2025-03-03_04-03-32.116	72.5057E+06	299.252E+06	0.0213E-12	-75.978		0.82446
2025-03-03_04-03-32.526	76.5886E+06	522.175E+06	0.0206E-12	-81.566		1.97973
2025-03-03_04-03-32.934	88.0712E+06	518.676E+06	0.0178E-12	-80.224		3.23560
2025-03-03_04-03-33.344	89.1670E+06	378.276E+06	0.0173E-12	-76.366		4.63804
2025-03-03_04-03-33.753	92.2083E+06	1.08765E+09	0.0172E-12	-85.137		7.22263
2025-03-03_04-03-34.162	92.2417E+06	300.411E+06	0.0164E-12	-72.118		9.84053
2025-03-03_04-03-34.572	90.5471E+06	368.521E+06	0.0170E-12	-75.777		12.42867
2025-03-03_04-03-34.981	88.8125E+06	292.079E+06	0.0171E-12	-72.298		15.62554
2025-03-03_04-03-35.391	98.2729E+06	1.08859E+09	0.0161E-12	-84.821		18.45908
2025-03-03_04-03-35.800	110.155E+06	624.503E+06	0.0142E-12	-79.841		21.38700
2025-03-03_04-03-36.209	94.0100E+06	2.14019E+09	0.0169E-12	-87.482		24.41930
2025-03-03_04-03-36.618	110.725E+06	418.211E+06	0.0139E-12	-74.647		27.53866
2025-03-03_04-03-37.027	85.8172E+06	454.590E+06	0.0182E-12	-79.118		30.75596
2025-03-03_04-03-37.437	106.085E+06	737.536E+06	0.0148E-12	-81.730		34.10695
2025-03-03_04-03-37.846	81.4394E+06	699.306E+06	0.0194E-12	-83.312		37.49392
2025-03-03_04-03-38.255	88.8509E+06	458.774E+06	0.0176E-12	-78.833		40.52311
2025-03-03_04-03-38.664	70.9746E+06	995.897E+06	0.0224E-12	-85.913		44.00358
2025-03-03_04-03-39.074	89.8383E+06	474.887E+06	0.0174E-12	-79.095		47.47583
2025-03-03_04-03-39.483	86.9806E+06	212.546E+06	0.0167E-12	-65.843		50.98916
2025-03-03_04-03-39.892	103.178E+06	10.1522E+09	0.0154E-12	-89.418		54.32150
2025-03-03_04-03-40.302	107.643E+06	380.143E+06	0.0142E-12	-73.551		58.20637
2025-03-03_04-03-40.711	86.9829E+06	951.575E+06	0.0182E-12	-84.755		61.57091
2025-03-03_04-03-41.120	88.7670E+06	-1.12376E+09	0.0179E-12	-94.531		65.29255
2025-03-03_04-03-41.530	103.261E+06	862.489E+06	0.0153E-12	-83.124		68.76880
2025-03-03_04-03-41.939	88.8854E+06	-663.778E+06	0.0177E-12	-97.696		72.15976
2025-03-03_04-03-42.349	88.7480E+06	613.939E+06	0.0177E-12	-81.688		75.70819
2025-03-03_04-03-42.757	88.4694E+06	-1.11003E+09	0.0179E-12	-94.571		78.89439
2025-03-03_04-03-43.167	86.4207E+06	963.582E+06	0.0183E-12	-84.854		82.29269
2025-03-03_04-03-43.576	81.3237E+06	107.788E+06	0.0128E-12	-41.020		85.79602
2025-03-03_04-03-43.985	88.5873E+06	587.498E+06	0.0178E-12	-81.327		88.97135
2025-03-03_04-03-44.395	88.6551E+06	985.698E+06	0.0179E-12	-84.840		93.42298
2025-03-03_04-03-44.804	109.097E+06	532.497E+06	0.0143E-12	-78.178		96.72844
2025-03-03_04-03-45.213	90.2878E+06	706.012E+06	0.0175E-12	-82.653		100.22800
2025-03-03_04-03-45.623	74.5767E+06	1.15187E+09	0.0213E-12	-86.288		103.95964
2025-03-03_04-03-46.032	82.4635E+06	631.850E+06	0.0191E-12	-82.501		107.41634
2025-03-03_04-03-46.441	102.182E+06	1.10263E+09	0.0155E-12	-84.683		110.47063
2025-03-03_04-03-46.851	99.8867E+06	668.757E+06	0.0158E-12	-81.410		114.49387
2025-03-03_04-03-47.260	90.8391E+06	355.797E+06	0.0169E-12	-75.208		117.65498
2025-03-03_04-03-47.669	90.9764E+06	488.895E+06	0.0172E-12	-79.276		120.86028
2025-03-03_04-03-48.079	76.5311E+06	185.364E+06	0.0189E-12	-65.615		124.06248
2025-03-03_04-03-48.488	86.1222E+06	464.630E+06	0.0182E-12	-79.318		127.12499
2025-03-03_04-03-48.897	96.4542E+06	524.453E+06	0.0162E-12	-79.402		129.30272
2025-03-03_04-03-49.307	98.1031E+06	682.292E+06	0.0161E-12	-81.733		131.73407
2025-03-03_04-03-49.716	90.5451E+06	-529.400E+06	0.0173E-12	-99.848		134.59448
2025-03-03_04-03-50.125	93.5433E+06	416.920E+06	0.0166E-12	-77.034		137.27923
2025-03-03_04-03-50.534	99.6371E+06	380.271E+06	0.0154E-12	-74.810		140.57270
2025-03-03_04-03-50.944	76.9351E+06	483.678E+06	0.0204E-12	-80.847		142.95697
2025-03-03_04-03-51.353	88.8988E+06	721.260E+06	0.0178E-12	-82.920		145.61084
2025-03-03_04-03-51.762	92.0079E+06	648.049E+06	0.0171E-12	-81.838		148.24296
2025-03-03_04-03-52.171	92.6440E+06	678.514E+06	0.0170E-12	-82.152		150.58392
2025-03-03_04-03-52.581	90.3191E+06	609.613E+06	0.0174E-12	-81.480		152.13960
2025-03-03_04-03-52.990	89.6122E+06	863.889E+06	0.0177E-12	-84.046		153.59157
2025-03-03_04-03-53.399	78.8479E+06	1.36940E+09	0.0202E-12	-86.699		155.49925
2025-03-03_04-03-53.809	108.563E+06	504.566E+06	0.0143E-12	-77.575		157.88041
2025-03-03_04-03-54.218	91.5686E+06	615.866E+06	0.0172E-12	-81.449		159.72591
2025-03-03_04-03-54.627	108.864E+06	659.989E+06	0.0144E-12	-80.506		161.46304
2025-03-03_04-03-55.037	91.0307E+06	445.767E+06	0.0171E-12	-78.217		161.92519
2025-03-03_04-03-55.446	109.956E+06	627.382E+06	0.0143E-12	-79.906		164.14867
2025-03-03_04-03-55.855	92.8193E+06	922.019E+06	0.0171E-12	-84.222		164.39518
2025-03-03_04-03-56.264	93.7521E+06	-1.91005E+09	0.0170E-12	-92.813		166.00949
2025-03-03_04-03-56.674	87.5002E+06	290.051E+06	0.0173E-12	-72.442		167.10658
2025-03-03_04-03-57.083	99.2709E+06	7.88149E+09	0.0160E-12	-89.278		167.39573
2025-03-03_04-03-57.492	92.5113E+06	1.03274E+09	0.0171E-12	-84.861		168.25629
2025-03-03_04-03-57.902	91.7929E+06	541.862E+06	0.0171E-12	-80.247		167.57139
